task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
onistudios.gg,9026,0,0 days 00:06:46.574238
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
onistudios.gg,9026,0,0 days 00:05:03.589790
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
onistudios.gg,9026,0,0 days 00:00:30.631841
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
onistudios.gg,9026,1,0 days 00:00:15.601180
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
onistudios.gg,9026,6,0 days 00:05:03.753862
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
onistudios.gg,9026,9026,0 days 02:16:05.054121
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
onistudios.gg,9026,94,0 days 02:32:01.652366
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
onistudios.gg,9026,37,0 days 00:50:52.166036
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
onistudios.gg,9026,1,0 days 00:00:27.412017
task_url,fuzzer_num,similar_domain_num,total_time,fuzzer_time
