fuzzer,domain,score
addition,www.bjta.edu.cn,0.13333333333333286
addition,www.bjtf.edu.cn,0.13333333333333286
addition,www.6jtu.edu.cn,4.440892098500626e-16
addition,www.jubt.edu.cn,0.0
addition,www.bjou.edu.cn,0.0
addition,www.bjti.edu.cn,0.1333333333333333
addition,www.bmtu.edu.cn,0.0
addition,www.bjtc.edu.cn,0.0
addition,www.bj3u.edu.cn,0.0
addition,www.bjut.edu.cn,0.0
addition,www.sjtu.edu.cn,4.440892098500626e-16
addition,www.bhtu.edu.cn,0.0
addition,www.ubjt.edu.cn,0.0
addition,www.bj0u.edu.cn,0.0
addition,www.b1tu.edu.cn,0.0
addition,www.bjtut.edu.cn,0.01606680024284346
addition,www.bjjtu.edu.cn,0.01606680024284346
addition,www.b5tu.edu.cn,0.0
addition,www.5jtu.edu.cn,4.440892098500626e-16
addition,www.bytu.edu.cn,4.440892098500626e-16
addition,www.jutb.edu.cn,0.0
addition,www.xjtu.edu.cn,4.440892098500626e-16
addition,www.bjtq.edu.cn,0.13333333333333286
addition,www.bjtbu.edu.cn,0.01606680024284346
