fuzzer,domain,score
tld-swap,nisuscrop.np,3.084962500721156
tld-swap,nisuscopr.np,3.084962500721156
tld-swap,nisucsorp.np,3.084962500721156
tld-swap,nisusocrp.np,3.084962500721156
tld-swap,niusscorp.np,3.084962500721156
tld-swap,nissucorp.np,3.084962500721156
tld-swap,nsiuscorp.np,3.084962500721156
tld-swap,insuscorp.run,3.085055102756477
tld-swap,nisuscrop.run,3.085055102756477
tld-swap,nisuscopr.run,3.085055102756477
tld-swap,nisucsorp.run,3.085055102756477
tld-swap,nisusocrp.run,3.085055102756477
tld-swap,niusscorp.run,3.085055102756477
tld-swap,nissucorp.run,3.085055102756477
tld-swap,nsiuscorp.run,3.085055102756477
tld-swap,insuscorp.icu,3.085055102756477
tld-swap,nisuscrop.icu,3.085055102756477
tld-swap,nisuscopr.icu,3.085055102756477
tld-swap,nisucsorp.icu,3.085055102756477
tld-swap,nisusocrp.icu,3.085055102756477
tld-swap,niusscorp.icu,3.085055102756477
tld-swap,nissucorp.icu,3.085055102756477
tld-swap,nsiuscorp.icu,3.085055102756477
tld-swap,insuscorp.pro,3.085055102756477
tld-swap,nisuscrop.pro,3.085055102756477
tld-swap,nisuscopr.pro,3.085055102756477
tld-swap,nisucsorp.pro,3.085055102756477
tld-swap,nisusocrp.pro,3.085055102756477
tld-swap,niusscorp.pro,3.085055102756477
tld-swap,nissucorp.pro,3.085055102756477
tld-swap,nsiuscorp.pro,3.085055102756477
tld-swap,insuscorp.porn,3.09306920777189
tld-swap,nisuscrop.porn,3.09306920777189
tld-swap,nisuscopr.porn,3.09306920777189
tld-swap,nisucsorp.porn,3.09306920777189
tld-swap,nisusocrp.porn,3.09306920777189
tld-swap,niusscorp.porn,3.09306920777189
tld-swap,nissucorp.porn,3.09306920777189
tld-swap,nsiuscorp.porn,3.09306920777189
tld-swap,insuscorp.press,3.106890595608519
tld-swap,nisuscrop.press,3.106890595608519
tld-swap,nisuscopr.press,3.106890595608519
tld-swap,nisucsorp.press,3.106890595608519
tld-swap,nisusocrp.press,3.106890595608519
tld-swap,niusscorp.press,3.106890595608519
tld-swap,nissucorp.press,3.106890595608519
tld-swap,nsiuscorp.press,3.106890595608519
none,nisusc-orp.com,3.121928094887362
none,nis-uscorp.com,3.121928094887362
none,n-isuscorp.com,3.121928094887362
none,nisuscor-p.com,3.121928094887362
none,nisus-corp.com,3.121928094887362
none,nisusco-rp.com,3.121928094887362
none,nisu-scorp.com,3.121928094887362
none,ni-suscorp.com,3.121928094887362
tld-swap,n-isuscorp.us,3.180832987205441
tld-swap,nis-uscorp.us,3.180832987205441
tld-swap,nisusco-rp.us,3.180832987205441
tld-swap,nisusc-orp.us,3.180832987205441
tld-swap,nisu-scorp.us,3.180832987205441
tld-swap,nisus-corp.us,3.180832987205441
tld-swap,nisuscor-p.us,3.180832987205441
tld-swap,ni-suscorp.us,3.180832987205441
tld-swap,n-isuscorp.so,3.180832987205441
tld-swap,nis-uscorp.so,3.180832987205441
tld-swap,nisusco-rp.so,3.180832987205441
tld-swap,nisusc-orp.so,3.180832987205441
tld-swap,nisu-scorp.so,3.180832987205441
tld-swap,nisus-corp.so,3.180832987205441
tld-swap,nisuscor-p.so,3.180832987205441
tld-swap,ni-suscorp.so,3.180832987205441
tld-swap,n-isuscorp.rs,3.180832987205441
tld-swap,nis-uscorp.rs,3.180832987205441
tld-swap,nisusco-rp.rs,3.180832987205441
tld-swap,nisusc-orp.rs,3.180832987205441
tld-swap,nisu-scorp.rs,3.180832987205441
tld-swap,nisus-corp.rs,3.180832987205441
tld-swap,nisuscor-p.rs,3.180832987205441
tld-swap,ni-suscorp.rs,3.180832987205441
tld-swap,n-isuscorp.is,3.180832987205441
tld-swap,nis-uscorp.is,3.180832987205441
tld-swap,nisusco-rp.is,3.180832987205441
tld-swap,nisusc-orp.is,3.180832987205441
tld-swap,nisu-scorp.is,3.180832987205441
tld-swap,nisus-corp.is,3.180832987205441
tld-swap,nisuscor-p.is,3.180832987205441
tld-swap,ni-suscorp.is,3.180832987205441
tld-swap,n-isuscorp.si,3.180832987205441
tld-swap,nis-uscorp.si,3.180832987205441
tld-swap,nisusco-rp.si,3.180832987205441
tld-swap,nisusc-orp.si,3.180832987205441
tld-swap,nisu-scorp.si,3.180832987205441
tld-swap,nisus-corp.si,3.180832987205441
tld-swap,nisuscor-p.si,3.180832987205441
tld-swap,ni-suscorp.si,3.180832987205441
tld-swap,n-isuscorp.su,3.180832987205441
tld-swap,nis-uscorp.su,3.180832987205441
tld-swap,nisusco-rp.su,3.180832987205441
tld-swap,nisusc-orp.su,3.180832987205441
tld-swap,nisu-scorp.su,3.180832987205441
tld-swap,nisus-corp.su,3.180832987205441
tld-swap,nisuscor-p.su,3.180832987205441
tld-swap,ni-suscorp.su,3.180832987205441
tld-swap,insuscorp.shop,3.182005814760214
tld-swap,nisuscrop.shop,3.182005814760214
tld-swap,nisuscopr.shop,3.182005814760214
tld-swap,nisucsorp.shop,3.182005814760214
tld-swap,nisusocrp.shop,3.182005814760214
tld-swap,niusscorp.shop,3.182005814760214
tld-swap,nissucorp.shop,3.182005814760214
tld-swap,nsiuscorp.shop,3.182005814760214
tld-swap,insuscorp.asia,3.182005814760214
tld-swap,nisuscrop.asia,3.182005814760214
tld-swap,nisuscopr.asia,3.182005814760214
tld-swap,nisucsorp.asia,3.182005814760214
tld-swap,nisusocrp.asia,3.182005814760214
tld-swap,niusscorp.asia,3.182005814760214
tld-swap,nissucorp.asia,3.182005814760214
tld-swap,nsiuscorp.asia,3.182005814760214
tld-swap,insuscorp.plus,3.182005814760214
tld-swap,nisuscrop.plus,3.182005814760214
tld-swap,nisuscopr.plus,3.182005814760214
tld-swap,nisucsorp.plus,3.182005814760214
tld-swap,nisusocrp.plus,3.182005814760214
tld-swap,niusscorp.plus,3.182005814760214
tld-swap,nissucorp.plus,3.182005814760214
tld-swap,nsiuscorp.plus,3.182005814760214
tld-swap,insuscorp.scot,3.182005814760214
tld-swap,nisuscrop.scot,3.182005814760214
tld-swap,nisuscopr.scot,3.182005814760214
tld-swap,nisucsorp.scot,3.182005814760214
tld-swap,nisusocrp.scot,3.182005814760214
tld-swap,niusscorp.scot,3.182005814760214
tld-swap,nissucorp.scot,3.182005814760214
tld-swap,nsiuscorp.scot,3.182005814760214
tld-swap,insuscorp.guru,3.182005814760214
tld-swap,nisuscrop.guru,3.182005814760214
tld-swap,nisuscopr.guru,3.182005814760214
tld-swap,nisucsorp.guru,3.182005814760214
tld-swap,nisusocrp.guru,3.182005814760214
tld-swap,niusscorp.guru,3.182005814760214
tld-swap,nissucorp.guru,3.182005814760214
tld-swap,nsiuscorp.guru,3.182005814760214
tld-swap,insuscorp.sa,3.188721875540867
tld-swap,nisuscrop.sa,3.188721875540867
tld-swap,nisuscopr.sa,3.188721875540867
tld-swap,nisucsorp.sa,3.188721875540867
tld-swap,nisusocrp.sa,3.188721875540867
tld-swap,niusscorp.sa,3.188721875540867
tld-swap,nissucorp.sa,3.188721875540867
tld-swap,nsiuscorp.sa,3.188721875540867
tld-swap,insuscorp.sg,3.188721875540867
tld-swap,nisuscrop.sg,3.188721875540867
tld-swap,nisuscopr.sg,3.188721875540867
tld-swap,nisucsorp.sg,3.188721875540867
tld-swap,nisusocrp.sg,3.188721875540867
tld-swap,niusscorp.sg,3.188721875540867
tld-swap,nissucorp.sg,3.188721875540867
tld-swap,nsiuscorp.sg,3.188721875540867
tld-swap,insuscorp.sk,3.188721875540867
tld-swap,nisuscrop.sk,3.188721875540867
tld-swap,nisuscopr.sk,3.188721875540867
tld-swap,nisucsorp.sk,3.188721875540867
tld-swap,nisusocrp.sk,3.188721875540867
tld-swap,niusscorp.sk,3.188721875540867
tld-swap,nissucorp.sk,3.188721875540867
tld-swap,nsiuscorp.sk,3.188721875540867
tld-swap,insuscorp.gs,3.188721875540867
tld-swap,nisuscrop.gs,3.188721875540867
tld-swap,nisuscopr.gs,3.188721875540867
tld-swap,nisucsorp.gs,3.188721875540867
tld-swap,nisusocrp.gs,3.188721875540867
tld-swap,niusscorp.gs,3.188721875540867
tld-swap,nissucorp.gs,3.188721875540867
tld-swap,nsiuscorp.gs,3.188721875540867
tld-swap,insuscorp.ms,3.188721875540867
tld-swap,nisuscrop.ms,3.188721875540867
tld-swap,nisuscopr.ms,3.188721875540867
tld-swap,nisucsorp.ms,3.188721875540867
tld-swap,nisusocrp.ms,3.188721875540867
tld-swap,niusscorp.ms,3.188721875540867
tld-swap,nissucorp.ms,3.188721875540867
tld-swap,nsiuscorp.ms,3.188721875540867
tld-swap,insuscorp.se,3.188721875540867
tld-swap,nisuscrop.se,3.188721875540867
tld-swap,nisuscopr.se,3.188721875540867
tld-swap,nisucsorp.se,3.188721875540867
tld-swap,nisusocrp.se,3.188721875540867
tld-swap,niusscorp.se,3.188721875540867
tld-swap,nissucorp.se,3.188721875540867
tld-swap,nsiuscorp.se,3.188721875540867
tld-swap,insuscorp.ws,3.188721875540867
tld-swap,nisuscrop.ws,3.188721875540867
tld-swap,nisuscopr.ws,3.188721875540867
tld-swap,nisucsorp.ws,3.188721875540867
tld-swap,nisusocrp.ws,3.188721875540867
tld-swap,niusscorp.ws,3.188721875540867
tld-swap,nissucorp.ws,3.188721875540867
tld-swap,nsiuscorp.ws,3.188721875540867
tld-swap,insuscorp.es,3.188721875540867
tld-swap,nisuscrop.es,3.188721875540867
tld-swap,nisuscopr.es,3.188721875540867
tld-swap,nisucsorp.es,3.188721875540867
tld-swap,nisusocrp.es,3.188721875540867
tld-swap,niusscorp.es,3.188721875540867
tld-swap,nissucorp.es,3.188721875540867
tld-swap,nsiuscorp.es,3.188721875540867
tld-swap,n-isuscorp.coop,3.189898095464287
tld-swap,nis-uscorp.coop,3.189898095464287
