fuzzer,domain,score,whois_expires,whois_updated,whois_created
step1,nisuscorp.com,0.0,2024-04-08 23:00:00,2023-04-09 12:01:16,1996-04-07 23:00:00
step1,visuscorp.com,0.0,2024-11-12 11:38:07,2021-11-13 10:21:11,2009-11-12 11:38:07
step1,nisyscorp.com,0.0,2024-05-31 01:53:02,2023-06-02 12:46:21,2023-05-31 01:53:00
